Timestamp,Email Address,Last Name,First Name (Preferred),USA ID,Preferred Phone Number,With which LSC are you registered?,Are you able to serve all sessions at this meet?,First Choice of Futures Meets,Second Choice of Futures Meets,First Choice of Meets,Second Choice of Meets,"If applications outnumber available positions, and you wish to remain on a waitlist for possible later openings for stroke and turn indicate which site. One site only.",1st Choice,2nd Choice,Futures,"Juniors, TYR PSS, National (US OPEN, Trials class)",Men's (Unisex),Women's,Roommate Request,"To the best of my knowledge, the information listed above is true and accurate."
2/1/2026 8:05:00,conoszko@email.com,Onoszko,Carol,EFD7675AAF00,252-555-5100,NE,Yes,"Austin, TX","Knoxville, TN",Futures,None,"Austin, TX",Chief Judge,Deck Referee,Never served,1-3,,S,No,Yes
2/1/2026 8:14:00,rdrummond@email.com,Drummond,Robert,EFD7675AAF01,916-555-5101,SC,Yes,"Knoxville, TN","Madison, WI",Futures,None,"Knoxville, TN",Deck Referee,Starter,4 or more,1-3,L,,No,Yes
2/1/2026 8:18:00,jeriksson@email.com,Eriksson,James,EFD7675AAF02,252-555-5102,LA,Yes,"Greensboro, NC","Madison, WI",None,None,"Greensboro, NC",Chief Judge,Deck Referee,4 or more,1-3,L,,No,Yes
2/1/2026 8:27:00,cnilsson@email.com,Nilsson,Charles,EFD7675AAF03,252-555-5103,MN,Other,"Greensboro, NC","Austin, TX",Futures,None,"Greensboro, NC",Starter,Deck Referee,Never served,Never served,L,,No,Yes
2/1/2026 8:38:00,wjansson@email.com,Jansson,William,EFD7675AAF04,336-555-5104,CA,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Knoxville, TN",Chief Judge,Admin Referee,1-3,Never served,M,,No,Yes
2/1/2026 8:49:00,bpetersen@email.com,Petersen,Barbara,EFD7675AAF05,919-555-5105,TX,Yes,"Madison, WI","Greensboro, NC",Futures,None,"Greensboro, NC",Deck Referee,,Served this year,Served this year,,M,Yes,Yes
2/1/2026 8:58:00,golsson@email.com,Olsson,George,EFD7675AAF06,865-555-5106,AZ,Yes,"Knoxville, TN","Greensboro, NC",Futures,None,"Greensboro, NC",Admin Referee,Starter,Served this year,Never served,2XL,,No,Yes
2/1/2026 9:07:00,kreinholt@email.com,Reinholt,Karen,EFD7675AAF07,865-555-5107,SE,Yes,"Madison, WI","Knoxville, TN",Futures,None,"Knoxville, TN",Deck Referee,Starter,Served this year,Never served,,M,Yes,Yes
2/1/2026 9:17:00,njohansson@email.com,Johansson,Nancy,EFD7675AAF08,919-555-5108,AL,Yes,"Greensboro, NC","Sacramento, CA",None,None,"Greensboro, NC",Chief Judge,Starter,1-3,1-3,,L,No,Yes
2/1/2026 9:26:00,brivera@email.com,Rivera,Betty,EFD7675AAF09,865-555-5109,WI,Yes,"Madison, WI","Sacramento, CA",Futures,None,"Sacramento, CA",Starter,Deck Referee,Served this year,Never served,,XS,No,Yes
2/1/2026 9:31:00,jblackwood@email.com,Blackwood,Joseph,EFD7675AAF0A,336-555-5110,FL,Yes,"Austin, TX","Greensboro, NC",Futures,None,"Greensboro, NC",Starter,Admin Referee,Never served,Served this year,L,,No,Yes
2/1/2026 9:44:00,ksteinberg@email.com,Steinberg,Kevin,EFD7675AAF0B,615-555-5111,SE,Other,"Greensboro, NC","Madison, WI",Futures,None,"Greensboro, NC",Chief Judge,Starter,1-3,Served this year,2XL,,No,Yes
2/1/2026 9:52:00,bespinoza@email.com,Espinoza,Brian,EFD7675AAF0C,916-555-5112,IA,Yes,"Greensboro, NC","Austin, TX",None,None,"Austin, TX",Chief Judge,Starter,4 or more,4 or more,L,,No,Yes
2/1/2026 9:57:00,alindberg@email.com,Lindberg,Alice,EFD7675AAF0D,865-555-5113,NE,Yes,"Sacramento, CA","Austin, TX",Futures,None,"Sacramento, CA",Starter,Deck Referee,4 or more,4 or more,,M,No,Yes
2/1/2026 10:08:00,jvillarreal@email.com,Villarreal,Joel,EFD7675AAF0E,252-555-5114,IN,Yes,"Madison, WI","Knoxville, TN",Futures,None,"Knoxville, TN",Deck Referee,Chief Judge,4 or more,Never served,L,,No,Yes
2/1/2026 10:19:00,madeyemi@email.com,Adeyemi,Marta,EFD7675AAF0F,608-555-5115,IL,Yes,"Greensboro, NC","Austin, TX",Futures,None,"Greensboro, NC",Chief Judge,Deck Referee,1-3,4 or more,,S,Yes,Yes
2/1/2026 10:27:00,kferrante@email.com,Ferrante,Keiko,EFD7675AAF10,919-555-5116,SE,Yes,"Greensboro, NC","Madison, WI",Futures,None,"Madison, WI",Starter,,Never served,4 or more,,XS,Yes,Yes
2/1/2026 10:36:00,msvensson@email.com,Svensson,Michael,EFD7675AAF11,336-555-5117,KY,Yes,"Madison, WI","Knoxville, TN",None,None,"Madison, WI",Chief Judge,,4 or more,4 or more,2XL,,Yes,Yes
2/1/2026 10:42:00,elambert@email.com,Lambert,Eva,EFD7675AAF12,916-555-5118,AL,Yes,"Greensboro, NC","Austin, TX",None,None,"Austin, TX",Chief Judge,Starter,Served this year,1-3,,M,No,Yes
2/1/2026 10:51:00,pholmberg@email.com,Holmberg,Peter,EFD7675AAF13,512-555-5119,NC,Yes,"Knoxville, TN","Greensboro, NC",Futures,None,"Knoxville, TN",Starter,Deck Referee,4 or more,4 or more,L,,No,Yes
2/1/2026 11:01:00,pfujimoto@email.com,Fujimoto,Priya,EFD7675AAF14,919-555-5120,NE,Other,"Greensboro, NC","Sacramento, CA",Futures,None,"Greensboro, NC",Chief Judge,Starter,Never served,Never served,,M,No,Yes
2/1/2026 11:14:00,hcastellano@email.com,Castellano,Henrik,EFD7675AAF15,919-555-5121,LA,Yes,"Knoxville, TN","Austin, TX",Futures,None,"Knoxville, TN",Starter,Admin Referee,4 or more,4 or more,M,,No,Yes
2/1/2026 11:22:00,kobeng@email.com,Obeng,Kwame,EFD7675AAF16,252-555-5122,SC,Yes,"Sacramento, CA","Knoxville, TN",Futures,None,"Sacramento, CA",Admin Referee,Starter,Never served,1-3,M,,Yes,Yes
2/1/2026 11:28:00,rkozlowski@email.com,Kozlowski,Rafael,EFD7675AAF17,252-555-5123,IL,Yes,"Knoxville, TN","Sacramento, CA",Futures,None,"Sacramento, CA",Starter,Chief Judge,1-3,1-3,L,,Yes,Yes
2/1/2026 11:41:00,tmagnusson@email.com,Magnusson,Taro,EFD7675AAF18,916-555-5124,MS,Yes,"Knoxville, TN","Greensboro, NC",Futures,None,"Knoxville, TN",Admin Referee,Chief Judge,4 or more,Served this year,2XL,,No,Yes
2/1/2026 11:45:00,dtakahashi@email.com,Takahashi,Derek,EFD7675AAF19,704-555-5125,IN,Yes,"Knoxville, TN","Sacramento, CA",Futures,None,"Sacramento, CA",Starter,Deck Referee,1-3,Served this year,XL,,Yes,Yes
2/1/2026 11:57:00,owashington@email.com,Washington,Omar,EFD7675AAF1A,916-555-5126,IA,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Knoxville, TN",Deck Referee,Chief Judge,1-3,Never served,L,,No,Yes
2/1/2026 12:03:00,scranston@email.com,Cranston,Steven,EFD7675AAF1B,916-555-5127,MO,Yes,"Greensboro, NC","Sacramento, CA",Futures,None,"Greensboro, NC",Deck Referee,Admin Referee,Never served,1-3,M,,No,Yes
2/1/2026 12:15:00,tpemberton@email.com,Pemberton,Theresa,EFD7675AAF1C,336-555-5128,IA,Yes,"Madison, WI","Knoxville, TN",Futures,None,"Madison, WI",Admin Referee,Starter,Never served,4 or more,,M,Yes,Yes
2/1/2026 12:25:00,mchioma@email.com,Chioma,Mike,EFD7675AAF1D,910-555-5129,AZ,Yes,"Greensboro, NC","Austin, TX",Futures,None,"Austin, TX",Starter,Chief Judge,1-3,4 or more,2XL,,Yes,Yes
2/1/2026 12:33:00,knkemdirim@email.com,Nkemdirim,Keith,EFD7675AAF1E,615-555-5130,VA,Other,"Greensboro, NC","Sacramento, CA",Futures,None,"Sacramento, CA",,,4 or more,1-3,L,,No,Yes
2/1/2026 12:42:00,bpettersson@email.com,Pettersson,Bryan,EFD7675AAF1F,910-555-5131,TX,Yes,"Greensboro, NC","Austin, TX",Futures,None,"Greensboro, NC",,,1-3,1-3,XL,,No,Yes
2/1/2026 12:52:00,lstefanescu@email.com,Stefanescu,Lars,EFD7675AAF20,865-555-5132,MV,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Knoxville, TN",,,4 or more,Never served,M,,No,Yes
2/1/2026 13:02:00,esorensen@email.com,Sorensen,Erik,EFD7675AAF21,512-555-5133,IA,Yes,"Knoxville, TN","Austin, TX",Futures,None,"Knoxville, TN",,,Served this year,1-3,L,,No,Yes
2/1/2026 13:07:00,ahashimoto@email.com,Hashimoto,Anika,EFD7675AAF22,916-555-5134,OK,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Knoxville, TN",,,1-3,Served this year,,S,No,Yes
2/1/2026 13:15:00,bokafor@email.com,Okafor,Bjorn,EFD7675AAF23,512-555-5135,MO,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Greensboro, NC",,,1-3,1-3,XL,,No,Yes
2/1/2026 13:28:00,cdelacroix@email.com,Delacroix,Chioma,EFD7675AAF24,910-555-5136,OK,Yes,"Greensboro, NC","Austin, TX",None,None,"Austin, TX",,,4 or more,1-3,,S,Yes,Yes
2/1/2026 13:38:00,gpapadopoulos@email.com,Papadopoulos,Gunnar,EFD7675AAF25,252-555-5137,IL,Yes,"Madison, WI","Knoxville, TN",Futures,None,"Madison, WI",,,4 or more,4 or more,M,,No,Yes
2/1/2026 13:47:00,rthibodeau@email.com,Thibodeau,Rolf,EFD7675AAF26,615-555-5138,VA,Yes,"Sacramento, CA","Knoxville, TN",None,None,"Sacramento, CA",,,1-3,Never served,XL,,Yes,Yes
2/1/2026 13:55:00,iosei@email.com,Osei,Ilse,EFD7675AAF27,512-555-5139,TX,Other,"Sacramento, CA","Austin, TX",Futures,None,"Austin, TX",,,Served this year,Never served,,L,No,Yes
2/1/2026 14:05:00,obergstrom@email.com,Bergstrom,Olaf,EFD7675AAF28,916-555-5140,MA,Yes,"Sacramento, CA","Knoxville, TN",Futures,None,"Knoxville, TN",,,Never served,Served this year,S,,Yes,Yes
2/1/2026 14:11:00,sdiaz@email.com,Diaz,Sarah,EFD7675AAF29,910-555-5141,FL,Yes,"Sacramento, CA","Knoxville, TN",Futures,None,"Knoxville, TN",,,Served this year,Served this year,,M,Yes,Yes
2/1/2026 14:20:00,fhalvorsen@email.com,Halvorsen,Frank,EFD7675AAF2A,910-555-5142,TN,Yes,"Knoxville, TN","Greensboro, NC",Futures,None,"Greensboro, NC",,,1-3,1-3,M,,No,Yes
2/1/2026 14:29:00,pmorales@email.com,Morales,Patricia,EFD7675AAF2B,336-555-5143,SC,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Greensboro, NC",,,1-3,Never served,,XS,No,Yes
2/1/2026 14:38:00,jhoffman@email.com,Hoffman,James,EFD7675AAF2C,916-555-5144,CT,Yes,"Knoxville, TN","Austin, TX",Futures,None,"Austin, TX",,,1-3,1-3,L,,No,Yes
2/1/2026 14:46:00,coduya@email.com,Oduya,Charles,EFD7675AAF2D,252-555-5145,KY,Yes,"Austin, TX","Knoxville, TN",Futures,None,"Austin, TX",,,4 or more,Never served,XL,,Yes,Yes
2/1/2026 14:58:00,wnakashima@email.com,Nakashima,William,EFD7675AAF2E,704-555-5146,KY,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Greensboro, NC",,,4 or more,4 or more,L,,Yes,Yes
2/1/2026 15:05:00,kyildiz@email.com,Yildiz,Karen,EFD7675AAF2F,704-555-5147,FL,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Greensboro, NC",,,1-3,Served this year,,XS,No,Yes
2/1/2026 15:14:00,gferreira@email.com,Ferreira,George,EFD7675AAF30,336-555-5148,NC,Yes,"Austin, TX","Knoxville, TN",Futures,None,"Austin, TX",,,1-3,4 or more,2XL,,No,Yes
2/1/2026 15:24:00,dmitchell@email.com,Mitchell,Donald,EFD7675AAF31,865-555-5149,MV,Yes,"Greensboro, NC","Sacramento, CA",Futures,None,"Sacramento, CA",,,1-3,4 or more,L,,Yes,Yes
2/1/2026 15:34:00,dhendricks@email.com,Hendricks,Dorothy,EFD7675AAF32,916-555-5150,CO,Yes,"Knoxville, TN","Sacramento, CA",None,None,"Sacramento, CA",,,1-3,Served this year,,S,No,Yes
2/1/2026 15:42:00,mhutchins@email.com,Hutchins,Marcus,EFD7675AAF33,512-555-5151,MO,Other,"Knoxville, TN","Austin, TX",None,None,"Knoxville, TN",,,4 or more,Served this year,M,,No,Yes
2/1/2026 15:51:00,jwallin@email.com,Wallin,Joseph,EFD7675AAF34,704-555-5152,MN,Yes,"Knoxville, TN","Greensboro, NC",Futures,None,"Knoxville, TN",,,Never served,Never served,M,,Yes,Yes
2/1/2026 16:00:00,kthornton@email.com,Thornton,Kevin,EFD7675AAF35,916-555-5153,MA,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Greensboro, NC",,,Served this year,Never served,L,,No,Yes
2/1/2026 16:09:00,bpetrova@email.com,Petrova,Brian,EFD7675AAF36,608-555-5154,LA,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Greensboro, NC",,,4 or more,4 or more,2XL,,Yes,Yes
2/1/2026 16:18:00,mkowalczyk@email.com,Kowalczyk,Marta,EFD7675AAF37,336-555-5155,NE,Yes,"Austin, TX","Knoxville, TN",Futures,None,"Knoxville, TN",,,1-3,Never served,,S,No,Yes
2/1/2026 16:28:00,kbrenner@email.com,Brenner,Keiko,EFD7675AAF38,916-555-5156,MV,Yes,"Knoxville, TN","Sacramento, CA",Futures,None,"Knoxville, TN",,,1-3,4 or more,,M,No,Yes
2/1/2026 16:37:00,pschreiber@email.com,Schreiber,Patrick,EFD7675AAF39,252-555-5157,NC,Yes,"Greensboro, NC","Austin, TX",Futures,None,"Austin, TX",,,4 or more,Never served,M,,No,Yes
2/1/2026 16:45:00,eonyekwere@email.com,Onyekwere,Eva,EFD7675AAF3A,252-555-5158,OH,Yes,"Sacramento, CA","Knoxville, TN",Futures,None,"Sacramento, CA",,,1-3,Served this year,,M,No,Yes
2/1/2026 16:54:00,mlindqvist@email.com,Lindqvist,Michael,EFD7675AAF3B,916-555-5159,AL,Yes,"Madison, WI","Greensboro, NC",Futures,None,"Madison, WI",,,1-3,Never served,L,,No,Yes
2/1/2026 17:04:00,dkowalski@email.com,Kowalski,David,EFD7675AAF3C,865-555-5160,NC,Yes,"Greensboro, NC","Austin, TX",Futures,None,"Greensboro, NC",,,4 or more,1-3,M,,No,Yes
2/1/2026 17:11:00,dwinters@email.com,Winters,Diane,EFD7675AAF3D,704-555-5161,NE,Yes,"Knoxville, TN","Madison, WI",Futures,None,"Madison, WI",,,Served this year,Never served,,S,Yes,Yes
2/1/2026 17:20:00,alovell@email.com,Lovell,Andre,EFD7675AAF3E,615-555-5162,MN,Yes,"Knoxville, TN","Austin, TX",Futures,None,"Knoxville, TN",,,Never served,Served this year,XL,,No,Yes
2/1/2026 17:27:00,hwakefield@email.com,Wakefield,Henrik,EFD7675AAF3F,865-555-5163,AL,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Knoxville, TN",,,1-3,1-3,L,,Yes,Yes
2/1/2026 17:37:00,cgustafsson@email.com,Gustafsson,Claire,EFD7675AAF40,615-555-5164,MA,Yes,"Austin, TX","Knoxville, TN",Futures,None,"Austin, TX",,,Served this year,4 or more,,M,No,Yes
2/1/2026 17:50:00,yblevins@email.com,Blevins,Yuki,EFD7675AAF41,704-555-5165,CT,Yes,"Austin, TX","Knoxville, TN",Futures,None,"Austin, TX",,,Never served,4 or more,,M,No,Yes
2/1/2026 17:54:00,tokonkwo@email.com,Okonkwo,Taro,EFD7675AAF42,336-555-5166,TN,Yes,"Austin, TX","Sacramento, CA",Futures,None,"Sacramento, CA",,,Never served,1-3,XL,,Yes,Yes
