Timestamp,Email Address,LAST Name,FIRST Name,TEAM (or UNAT),USAS Member Number,Phone Number (XXX-XXX-XXXX),My APT and BGC are up to date,My Certifications [S&T],My Certifications [AO],My Certifications [CJ],My Certifications [SR],My Certifications [AR],My Certifications [DR],Declare Your Availability for Each Session [Thurs Finals],Declare Your Availability for Each Session [Fri Prelim],Declare Your Availability for Each Session [Fri (12U Session)],Declare Your Availability for Each Session [Fri Finals],Declare Your Availability for Each Session [Sat Prelim],Declare Your Availability for Each Session [Sat (12U Session)],Declare Your Availability for Each Session [Sat Finals],Declare Your Availability for Each Session [Sun (Prelim)],Declare Your Availability for Each Session [Sun (12U Session)],Declare Your Availability for Each Session [Sun Finals],I am interested officiating in...,I would like to be considered for the following assigned positions: [1st Choice],I would like to be considered for the following assigned positions: [2nd Choice],I would like to be considered for the following assigned positions: [3rd Choice],"Are you interested in being evaluated at this meet? (If ""NO"", skip to Section 3)",I would like to be evaluated for the following position(s). Some N3 level evaluation may not be available.,I understand that I must sign up for and complete at least 4 prelim/finals sessions to receive an evaluation.,I will have met all requirements to receive an evaluation at the requested position.,Shirts may be provided for officials at this meet. [Mens],Shirts may be provided for officials at this meet. [Womens],Optional Comment:,Thank you for signing up to officiate at this Championship Meet
5/15/2026 11:55:00,margaret.walker@example.com,Walker,Margaret,ECA,EKIPU1WYUVXYBJ,980-516-6567,They will be before start of meet,N2,N3,LSC,N3,Apprentice,LSC,I will Work,Not Available,Not Available,I will Work,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,Assigned Position - Complete next question,SR,AO,,YES,S&T - N3; CJ - N2,YES,Yes,,✓,,"OK, See you at the MEET"
5/15/2026 14:10:00,anthony.young@example.com,Young,Anthony,SAIL,NZS43C5BA75UUZ,627-496-2887,They will be before start of meet,N3,N3,N3,N3,LSC,N3,I will Work,I will Work,I will Work,I will Work,Not Available,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,DR,SR,AO,NO,,,,✓,,,"OK, See you at the MEET"
5/16/2026 12:56:00,dorothy.scott@example.com,Scott,Dorothy,WAVE,10LBT3G2QZW3C1,668-237-5807,Yes,LSC,N3,N2,Apprentice,N2,N2,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,S&T position only - Skip next question,,,,NO,,,,✓,,Available to help with hospitality if needed.,"OK, See you at the MEET"
5/16/2026 18:44:00,michelle.roberts@example.com,Roberts,Michelle,STAR,L65WVJX8UIBRSZ,993-589-3421,Yes,LSC,None,N2,LSC,N3,N2,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,DR,CJ,AR,YES,S&T - N2; CJ - N3,YES,Yes,,✓,May need to leave early Sunday.,"OK, See you at the MEET"
5/17/2026 09:41:00,emily.nelson@example.com,Nelson,Emily,NCMS,64JWTEKTSG7FXZ,819-545-1674,Yes,N3,N2,N2,N2,N3,None,I will Work,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Assigned Position - Complete next question,AO,CJ,AR,NO,,,,,✓,Looking forward to it!,"OK, See you at the MEET"
5/17/2026 11:34:00,william.miller@example.com,Miller,William,RSA,Y4SJ6BW3BME9FP,922-637-1158,Yes,LSC,N2,N2,N2,None,N2,I will Work,I will Work,Not Available,I will Work,Not Available,Not Available,Not Available,I will Work,Not Available,Not Available,S&T position only - Skip next question,,,,NO,,,,,✓,Available to help with hospitality if needed.,"OK, See you at the MEET"
5/17/2026 13:25:00,paul.adams@example.com,Adams,Paul,YOTA,T64Z7W2SEHE2AT,577-678-3126,Yes,Apprentice,N3,N2,N3,N3,LSC,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,S&T position only - Skip next question,,,,NO,,,,✓,,May need to leave early Sunday.,"OK, See you at the MEET"
5/18/2026 19:49:00,carol.phillips@example.com,Phillips,Carol,GOLD,X0H3JUJD0IB6II,302-623-6411,They will be before start of meet,N2,Apprentice,Apprentice,LSC,N3,N3,I will Work,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,S&T position only - Skip next question,,,,YES,S&T - N3; SR - N2,YES,Yes,✓,,,"OK, See you at the MEET"
5/19/2026 13:08:00,patricia.johnson@example.com,Johnson,Patricia,WNCY,9XUY41IBLJH75L,871-711-7482,They will be before start of meet,N2,N3,N2,N2,N3,N2,I will Work,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,S&T position only - Skip next question,,,,YES,S&T - N3; CJ - N2,YES,Yes,✓,,Available to help with hospitality if needed.,"OK, See you at the MEET"
5/22/2026 15:44:00,susan.anderson@example.com,Anderson,Susan,GOLD,60RJIW1SWJCKJL,753-282-3267,Yes,N2,N2,N2,N2,N2,LSC,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,Assigned Position - Complete next question,CJ,AO,SR,YES,S&T - N3; AO - N2,YES,Yes,✓,,,"OK, See you at the MEET"
