Timestamp,Last Name,First Name,Email Address,Phone Number (XXX-XXX-XXXX),TEAM (or UNAT),USAS Member Number,Certification [S&T],Certification [CJ],Certification [SR],Certification [AR],Certification [DR],1st Choice,2nd Choice,3rd Choice,Thurs Finals,Fri Prelims,Fri (10U/11-12 Sessions),Fri Finals,Sat Prelims,Sat (10U/11-12 Sessions),Sat Finals,Sun Prelims,Sun (10U/11-12 Sessions),Sun Finals,Notes,Men's Cut,Women's Cut
2/1/2026 9:02:00,Lindqvist,Luis,llindqvist@email.com,252-555-5000,Tidal Wave,EFD7675A5000,Apprentice,LSC,,,,Chief Judge,,,Y,Y,N,Y,Y,N,Y,Y,N,Y,,XL,N/A
2/1/2026 9:11:00,Halvorsen,Patrick,phalvorsen@email.com,252-555-5001,Davidson Aquatics,EFD7675A5001,LSC,,,,,,,,N,N,Y,N,N,Y,N,N,Y,N,,M,N/A
2/1/2026 9:15:00,Delacroix,Carol,cdelacroix@email.com,910-555-5002,Cape Fear,EFD7675A5002,N2,,,,,,,,Y,Y,N,Y,Y,N,Y,Y,N,Y,Thursday and Friday only,N/A,XL
2/1/2026 9:24:00,Thibodeau,Rafael,rthibodeau@email.com,704-555-5003,Tidal Wave,EFD7675A5003,LSC,,,,,,,,Y,Y,N,Y,Y,N,Y,Y,N,Y,Thursday and Friday only,M,N/A
2/1/2026 9:28:00,Callahan,Amara,acallahan@email.com,919-555-5004,Durham Dolphins,EFD7675A5004,LSC,N2,N2,N2,LSC,Chief Judge,Deck Referee,Admin Referee,Y,Y,N,Y,Y,N,Y,Y,N,Y,,N/A,XS
2/1/2026 9:36:00,Okonkwo,Nancy,nokonkwo@email.com,919-555-5005,SwimMAC,EFD7675A5005,LSC,,,LSC,,,,,Y,Y,N,N,Y,N,Y,Y,N,N,Thursday and Friday only,N/A,L
2/1/2026 9:42:00,Osei,Claire,cosei@email.com,910-555-5006,Marlins,EFD7675A5006,N2,,N2,,N2,Deck Referee,Admin Official,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N/A,L
2/1/2026 9:53:00,Oduya,Andre,aoduya@email.com,910-555-5007,Davidson Aquatics,EFD7675A5007,LSC,,,,,,,,N,N,Y,Y,Y,Y,Y,N,Y,Y,Limited availability,M,N/A
2/1/2026 9:58:00,Steinberg,Marcus,msteinberg@email.com,910-555-5008,Tidal Wave,EFD7675A5008,N3,,N3,LSC,N2,Deck Referee,Admin Official,Starter,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,S,N/A
2/1/2026 10:03:00,Yamamoto,Thomas,tyamamoto@email.com,252-555-5009,Triangle Aquatics,EFD7675A5009,LSC,,,LSC,N2,,,,Y,N,N,N,N,Y,N,Y,Y,Y,Weekends only,M,N/A
