"Start Date/Time (mm/dd/yyyy)","End Date/Time (mm/dd/yyyy)","Location","Qty","Item","First Name","Last Name","Email","Sign Up Comment","Sign Up Timestamp","Phone","PhoneType",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","AO/AR","Grace","Tillman","gtillman@fakemail.com","","12/31/2025 11:17:00 AM","919-555-0101","Mobile",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","AO/AR","Norma","Przybyla","nprzybyla@fakemail.com","","01/07/2026 09:43:00 AM","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","Dolores","Whitmore","dwhitmore@fakemail.com","ST , SR, CJ","12/31/2025 05:30:00 PM","919-555-0102","Mobile",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","Leonard","Okonkwo","lokonkwo@fakemail.com","","01/02/2026 08:49:00 AM","832-555-0103","Mobile",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","Beatrice","Czerwinski","bczerwinski@fakemail.com","DR","01/03/2026 01:24:00 PM","813-555-0104","Mobile",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","Alvin","Wulfsberg","awulfsberg@fakemail.com","S&T/CJ/AO","01/03/2026 04:04:00 PM","850-555-0105","Mobile",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","Cecil","Haverstock","chaverstock@fakemail.com","S&T","01/03/2026 04:54:00 PM","919-555-0106","Mobile",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","Velma","Dziedzic","vdziedzic@fakemail.com","","01/04/2026 05:56:00 PM","703-555-0107","Mobile",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","Rupert","Makanjuola","rmakanjuola@fakemail.com","","01/04/2026 08:36:00 PM","919-555-0108","Mobile",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","Howard","Szymanski","hszymanski@fakemail.com","","01/09/2026 11:34:00 PM","407-555-0109","Mobile",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","Gladys","Petrakis","gpetrakis@fakemail.com","","01/10/2026 08:08:00 AM","919-555-0110","Mobile",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Certified officials","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Stroke and Turn apprentices","William","Smith","wsmith@fakemail.com","3rd Session","01/07/2026 09:43:00 AM","919-555-0200","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Stroke and Turn apprentices","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Stroke and Turn apprentices","","","","","","","",""
"01/16/2026 04:30 PM","01/16/2026 09:00 PM","Session 1","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","AO/AR","Beatrice","Czerwinski","bczerwinski@fakemail.com","","12/31/2025 09:21:00 AM","813-555-0104","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","AO/AR","Grace","Tillman","gtillman@fakemail.com","","12/31/2025 11:18:00 AM","919-555-0101","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","AO/AR","Norma","Przybyla","nprzybyla@fakemail.com","","01/07/2026 09:43:00 AM","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Dolores","Whitmore","dwhitmore@fakemail.com","ST , SR, CJ","12/31/2025 05:30:00 PM","919-555-0102","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Leonard","Okonkwo","lokonkwo@fakemail.com","","01/02/2026 08:49:00 AM","832-555-0103","Mobile",""
